en,zh
eye-level,平视
low angle,仰视
high angle,俯视
bird's eye view,鸟瞰
dutch angle,倾斜角
over-the-shoulder,过肩视角
first-person view,第一人称视角
third-person view,第三人称视角
worm's-eye view,虫眼视角
