en,zh
vibrant,鲜艳
pastel,柔和
monochrome,单色
warm tones,暖色调
cool tones,冷色调
dark and moody,暗黑氛围
bright and colorful,明亮多彩
muted,低饱和
neon,霓虹
sepia,怀旧棕褐色
black and white,黑白
high contrast,高对比
low contrast,低对比
golden hour,金色时刻
blue hour,蓝色时刻
