en,zh
extreme close-up,大特写
close-up,特写
medium close-up,中近景
medium shot,中景
full shot,全景
long shot,远景
extreme long shot,大远景
portrait,肖像
full body,全身
waist up,半身
face shot,脸部特写
eye-level shot,平视镜头
wide shot,广角镜头
