en,zh
photorealistic,照片级真实
anime,动漫
oil painting,油画
watercolor,水彩
sketch,素描
cartoon,卡通
cyberpunk,赛博朋克
fantasy,奇幻
gothic,哥特
steampunk,蒸汽朋克
minimalist,极简主义
abstract,抽象
impressionism,印象派
surrealism,超现实主义
pixel art,像素艺术
3D render,3D渲染
studio ghibli style,吉卜力风格
