en,zh
smile,微笑
frown,皱眉
blush,脸红
cry,哭泣
laugh,大笑
surprised,惊讶
angry,生气
wink,眨眼
teary eyes,含泪
closed eyes,闭眼
looking away,看向别处
seductive,诱惑
evil grin,邪笑
neutral,面无表情
