en,zh
natural lighting,自然光
soft light,柔光
hard light,硬光
backlight,逆光
side light,侧光
rim light,轮廓光
cinematic lighting,电影级照明
neon lighting,霓虹灯光
moody lighting,氛围光
dark lighting,暗光
bright lighting,明亮光线
sunlight,阳光
moonlight,月光
candlelight,烛光
studio lighting,影棚光
volumetric lighting,体积光
