en,zh
standing,站立
sitting,坐着
running,奔跑
walking,行走
jumping,跳跃
flying,飞翔
lying down,躺下
looking back,回头
hands on hips,双手叉腰
crossed arms,双臂交叉
pointing,手指指向
holding a sword,握剑
casting a spell,施法
dancing,跳舞
sleeping,睡觉
eating,吃东西
drinking,喝水
fighting,战斗
meditating,冥想
